Time,----------,RSRP,RSRQ,RSSI,SINR0,PCI,DL EARFCN,Bandwidth,TAC,Tx Antennas,Pmax,QRxLevMin,Intra PCI,Inter Freq./ PCI,PLMNID (MCC/MNC),eNB/Sector ID,eNB,RF Band (LTE),CP distribution,Timing advance,Carrier Aggregation DL,EMM State,QCI,Num of Subframes,Avg RB count,Sched Thrpt,PDSCH Thrpt,Bytes Transferred,BLER,Num of TBs,Average TB Size,Num of New TBs,Num ACKs,TM mode distribution,Reporting Mode,CQI0/CQI1,PUCCH Tx power,Bytes Transferred,Sched Thrpt,PUSCH Thrpt,Retransmission Rate,Average TB Size,Number of TBs,TxPower,Num BPSK (LTE UL),Num ACKs,BPSK Rate,Network,Operator,Technology,Forcing,Data technology,Cell Id,MCC,MNC,MCC/MNC,LAC,BTS Cell Name,PCI,DL EARFCN,SINR1,SRxLev,SNonIntraSearch,TxPower,RSRQ,RSRP,RSSI,Battery temperature,Test KPI type,Test KPI avg,Test KPI worst,Test KPI best,Number of carriers DL,Average MCS Index,Transmission Mode,Num QPSK (LTE DL),Num 16QAM (LTE DL),Num 64QAM (LTE DL),QPSK Rate,16-QAM Rate,64-QAM Rate,Rank 1,Num of Recombined,Max Num of Layers,Num QPSK (LTE UL),Num 16QAM (LTE UL),Num 64QAM (LTE UL),Num NACKs,QPSK Rate,16-QAM Rate,64-QAM Rate,Max bit rate UL,Max bit rate DL,Guaranteed bit rate UL,Guaranteed bit rate DL,MaxTxPower,SIntraSearch,Num NACKs,Rank 2,BTS Cell Name 2
2020-01-27 11:22:48.970,,,,,,339,3100,20,20004,4,0,-128,,,732/101,,,,,,,deregistered (attach needed),,1,12,0,0,38,0,1,38,0,,4 (100%),,,,,,,,,,,,,,Emergency only,,LTE,LTE (Band VII - 2600),,,,,- / -,,,339,3100,,43,0,,,,,31.1,,,,,1,10,CL SM (4),0.0,1.0,0.0,0.0,100.0,0.0,100.0,0,4,,,,,,,,,,,,23,0,,0.0,
2020-01-27 11:22:48.970,,,,,,339,3100,20,20004,4,0,-128,,,732/101,,,,,,,deregistered,,1,12,0,0,38,0,1,38,0,,4 (100%),,,,,,,,,,,,,,Emergency only,,LTE,LTE (Band VII - 2600),,,,,- / -,,,339,3100,,43,0,,,,,31.1,,,,,1,10,CL SM (4),0.0,1.0,0.0,0.0,100.0,0.0,100.0,0,4,,,,,,,,,,,,23,0,,0.0,
2020-01-27 11:22:49.30,,,,,,339,3100,20,20004,4,0,-128,,,732/101,,,,,,,registered (normal service),,1,12,0,0,38,0,1,38,0,,4 (100%),,,,,,,,,,,,,,Emergency only,,LTE,LTE (Band VII - 2600),,,,,- / -,,,339,3100,,43,0,,,,,31.1,,,,,1,10,CL SM (4),0.0,1.0,0.0,0.0,100.0,0.0,100.0,0,4,,,,,,,,,,,,23,0,,0.0,
2020-01-27 11:22:49.30,,,,,,339,3100,20,20004,4,0,-128,,,732/101,,,,,,,registered (normal service),,1,12,0,0,38,0,1,38,0,,4 (100%),,,,,,,,,,,,,,Emergency only,,LTE,LTE (Band VII - 2600),LTE,,,,- / -,,,339,3100,,43,0,,,,,31.1,,,,,1,10,CL SM (4),0.0,1.0,0.0,0.0,100.0,0.0,100.0,0,4,,,,,,,,,,,,23,0,,0.0,
2020-01-27 11:22:49.45,,,,,,,,,,,,,,,,,,,,,,registered (normal service),,,,,,,,,,,,4 (100%),,,,,,,,,,,,,,Out of Service,,,LTE (Band VII - 2600),,,,,- / -,,,,,,,,,,,,31.1,,,,,,,CL SM (4),,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27 11:22:49.45,,,,,,493,2325,15,5006,4,0,-128,,,732/103,,,,,,,registered (normal service),,,,,,,,,,,,4 (100%),,,,,,,,,,,,,,Out of Service,,,LTE (Band VII - 2600),,,,,- / -,,,493,2325,,43,0,,,,,31.1,,,,,,,CL SM (4),,,,,,,,,,,,,,,,,,,,,23,0,,,
2020-01-27 11:22:49.70,,-86.4,-15.3,-49.4,4.2,493,2325,15,5006,4,0,-128,,,732/103,,,,,,,registered (normal service),,,,,,,,,,,,4 (100%),,,,,,,,,,,,,,Out of Service,,,LTE (Band VII - 2600),,,,,- / -,,,493,2325,-6.8,43,0,,-15.3,-86.4,-49.4,31.1,,,,,,,CL SM (4),,,,,,,,,,,,,,,,,,,,,23,0,,,
2020-01-27 11:22:49.80,,-86.4,-15.3,-49.4,4.2,493,2325,15,5006,2,0,-128,,,732/103,,,,,,,registered (normal service),,,,,,,,,,,,4 (100%),,,,,,,,,,,,,,Out of Service,,,LTE (Band VII - 2600),,,,,- / -,,,493,2325,-6.8,43,0,,-15.3,-86.4,-49.4,31.1,,,,,,,CL SM (4),,,,,,,,,,,,,,,,,,,,,23,0,,,
2020-01-27 11:22:49.215,,-86.4,-15.3,-49.4,4.2,493,2325,15,5006,2,0,-128,,,732/103,,,,,,,registered (normal service),,,,,,,,,,,3,4 (100%),,,,,,,,,,,,,,Out of Service,,,LTE (Band VII - 2600),,,,,- / -,,,493,2325,-6.8,43,0,,-15.3,-86.4,-49.4,31.1,,,,,,,CL SM (4),,,,,,,,,,,,,,,,,,,,,23,0,0,,
2020-01-27 11:22:49.235,,-86.4,-15.3,-49.4,4.2,493,2325,15,5006,2,0,-128,,,732/103,,,,,,,registered (normal service),,,,,,,,,,,3,4 (100%),,,,,,,,,,,,,,Out of Service,,,LTE (Band VII - 2600),,,,,- / -,,,493,2325,-6.8,43,0,,-15.3,-86.4,-49.4,31.1,,,,,1,,CL SM (4),,,,,,,,,,,,,,,,,,,,,23,0,0,,
